Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
approximate,"Close to the actual, but not completely accurate or exact",xấp xỉ,The approximate cost is $100.,adjective,"approximates, approximating, approximated","near, close","exact, precise","approximate value, approximate time"
approximately,"Used to show that something is almost, but not completely, accurate or exact",khoảng,There were approximately 50 people at the event.,adverb,approximate,"roughly, about","exactly, precisely","approximately equal, approximately similar"
April,"The fourth month of the year, in the northern hemisphere usually considered the second month of spring",Tháng tư,Her birthday is in April.,noun,Aprils,none,none,"April showers, April Fool's Day"
area,"A region or part of a town, a country, or the world",khu vực,They live in a rural area.,noun,areas,"region, zone",none,"urban area, area code"
argue,"Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view",tranh cãi,They argued about the best solution.,verb,"argues, arguing, argued","dispute, debate","agree, concur","argue about, argue with"
argument,"An exchange of diverging or opposite views, typically a heated or angry one",lý lẽ,They had an argument about politics.,noun,arguments,"dispute, quarrel","agreement, harmony","heated argument, strong argument"
arise,Emerge; become apparent,phát sinh,Problems may arise if you don't follow the rules.,verb,"arises, arising, arose","emerge, occur","settle, resolve","arise naturally, arise unexpectedly"
arm,Each of the two upper limbs of the human body from the shoulder to the hand,cánh tay,He injured his arm.,noun,arms,limb,none,"broken arm, left arm"
armed,Equipped with or carrying weapons,vũ trang,The guards were armed.,adjective,armed,weaponized,unarmed,"armed forces, armed conflict"
arms,Weapons and ammunition,cánh tay,The soldiers carried arms.,noun,arms,"weapons, munitions",none,"bear arms, lay down arms"
army,An organized military force equipped for fighting on land,quân đội,He joined the army.,noun,armies,"military, troops",none,"army base, army officer"
around,Located or situated on every side,xung quanh,She looked around the room.,"adverb, preposition",around,"about, approximately",none,"look around, travel around"
arrange,"Put (things) in a neat, attractive, or required order",sắp xếp,She arranged the flowers in a vase.,verb,"arranges, arranging, arranged","organize, sort","disorganize, disrupt","arrange a meeting, arrange flowers"
arrangement,"The action, process, or result of arranging or being arranged",sắp xếp,The arrangement of the furniture was perfect.,noun,arrangements,"order, organization","disorder, confusion","seating arrangement, financial arrangement"
arrest,Seize (someone) by legal authority and take into custody,bắt giữ,The police arrested the suspect.,verb,"arrests, arresting, arrested","detain, capture","release, free","make an arrest, arrest warrant"
arrival,The action or process of arriving,đến,Her arrival was delayed.,noun,arrivals,"coming, approach","departure, leaving","late arrival, early arrival"
arrive,Reach a place at the end of a journey or a stage in a journey,đến,We arrived at the hotel.,verb,"arrives, arriving, arrived","reach, get to","leave, depart","arrive on time, arrive late"
arrive at,To reach a particular place,đến,They arrived at the station.,phrasal verb,"arrives at, arriving at, arrived at","reach, get to","leave, depart","arrive at a decision, arrive at a conclusion"
arrow,"A weapon consisting of a thin, straight stick with a sharp point, designed to be shot from a bow",mũi tên,He shot an arrow.,noun,arrows,"shaft, dart",none,"shoot an arrow, bow and arrow"
art,"The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture",nghệ thuật,She studied art in college.,noun,arts,"craft, creativity",none,"modern art, art gallery"
article,"A particular item or object, typically one of a specified type",bài báo,He wrote an article for the magazine.,noun,articles,"item, object",none,"news article, research article"
artificial,"Made or produced by human beings rather than occurring naturally, typically as a copy of something natural",nhân tạo,This drink contains artificial flavors.,adjective,artificially,"synthetic, fake","natural, real","artificial intelligence, artificial light"
artificially,By means of human intervention rather than naturally,một cách giả tạo,The flowers are artificially grown.,adverb,artificial,unnaturally,naturally,"artificially colored, artificially flavored"
artist,A person who creates art,nghệ sĩ,He is a famous artist.,noun,artists,"creator, painter",none,"professional artist, artist community"
artistic,Having or revealing natural creative skill,nghệ thuật,She has great artistic talent.,adjective,artistically,"creative, imaginative","unartistic, uncreative","artistic expression, artistic skills"
artistically,In a way that relates to art or artists,về mặt nghệ thuật,The room was decorated artistically.,adverb,artistic,"creatively, aesthetically",unartistically,"artistically inclined, artistically gifted"
as,Used to indicate that something happens during the time when something else is taking place,BẰNG,He watched her as she left.,"conjunction, preposition",as,"while, during",none,"as she walked, as it happened"
ashamed,"Embarrassed or guilty because of one's actions, characteristics, or associations",xấu hổ,He felt ashamed of his behavior.,adjective,ashamedly,"embarrassed, guilty","proud, unashamed","feel ashamed, be ashamed"
aside,To one side; out of the way,sang một bên,He stepped aside to let her pass.,"adverb, noun",aside,"away, to the side","center, middle","step aside, put aside"
aside from,Except for; apart from,ngoài ra,"Aside from the cost, the project is feasible.",preposition,aside from,"except, apart from","including, with","aside from that, aside from this"
ask,Say something in order to obtain an answer or some information,hỏi,She asked a question.,verb,"asks, asking, asked","inquire, question","answer, reply","ask for, ask about"
asleep,In a state of sleep,ngủ,He was sound asleep.,adjective,asleep,"sleeping, dormant","awake, alert","fall asleep, be asleep"
aspect,A particular part or feature of something,diện mạo,The financial aspect of the deal is crucial.,noun,aspects,"feature, facet","whole, entirety","important aspect, different aspect"
assist,Give help or support to,hỗ trợ,She assisted the elderly woman.,verb,"assists, assisting, assisted","help, support","hinder, obstruct","assist with, assist in"
assistance,The action of helping someone with a job or task,hỗ trợ,They offered assistance to the victims.,noun,assistances,"aid, help","hindrance, obstruction","seek assistance, provide assistance"
assistant,A person who ranks below a senior person,trợ lý,She works as an assistant to the manager.,noun,assistants,"aide, helper","boss, superior","personal assistant, executive assistant"
associate,Connect (someone or something) with something else in one's mind,kết hợp,He associated himself with the campaign.,"verb, noun","associates, associating, associated","connect, link","separate, dissociate","associate with, closely associate"
associated,Connected with something else,có liên quan,She is associated with the project.,adjective,associatedly,"connected, related","unrelated, separate","associated with, associated company"
association,A group of people organized for a joint purpose,sự kết hợp,The association meets every month.,noun,associations,"organization, group","disassociation, separation","professional association, community association"
